id,toxic,obscene
93ecf2cc643e5654,1,0
6bc2407dc8e70c5e,1,0
1d2126e84794e39d,1,0
f1aa7b01aa26fdf4,1,0
a686d7fd2a3742dd,1,0
921e7ed389d20d6c,1,0
70bdb1ae150f3924,1,0
9ed5e53b7c4ad1f8,1,0
f52c0ef11db72a8c,1,0
3109f3378130048d,1,0
a477617edf857f1d,1,0
14a6586e65eed7f1,1,0
764dd73c8d447904,1,0
334ad03dc49f94fb,1,0
0a63550a10c23f07,1,0
0b4797b2dff0afaa,1,0
11504d4b6864d47d,1,0
b87367e1c0ee6704,1,0
d89b2fbc5f5ba540,1,0
9bbc1e71216b96c2,1,0
a015efedc0949af3,1,0
b295e337a05babf9,1,0
9793287d7618ca81,1,0
e87ff13f2f37ef01,1,0
3918e0cdecf99801,1,0
850a68a6fdea5d12,1,0
411d2587170d75f3,1,0
2ac81236aeb9b77b,1,0
ad0064d3cc336d13,1,0
15cb75c9ff82c3e7,1,0
4283ea4bca0d6a38,1,0
a10b4a62a36e8ee0,1,0
adb7da3c0a3da1a6,1,0
1a8ad43299c67c74,1,0
3c7ba2df23ae9767,1,0
24abc52ebbe88494,1,0
6731dbcc97619274,1,0
382ac7d058d6154b,1,0
8c6cf3651e209085,1,0
41c2e22130f6eff7,1,0
7daca74a6749fb2b,1,0
a6f8fce43ea915e2,1,0
e320b9835f6d9deb,1,0
b9a16ce564fce682,1,0
9c3467593b1a0620,1,0
967a50ad6ec2b46c,1,0
d4162db5324df187,1,0
198b25cabd904acc,1,0
7eb3670bbaa3cdf3,1,0
5c6a7df3351614c7,1,0
2e2f7e27578e7081,1,0
a46f7e270f6c8f3a,1,0
e72339a89aa4bbf5,1,0
ddfced3dc82a290a,1,0
ad5dc676cf561383,1,0
fc0d06e423528531,1,0
54dffd9505b2f422,1,0
2f055a1abb4e56f5,1,0
c19cd69ac9d6b921,1,0
5e66e34a75a49492,1,0
07e167686eb78ca6,1,0
5d600f74a985aad5,1,0
c76969aa2a3bf877,1,0
1fbaee0973f5c43f,1,0
be358948f3b0656c,1,0
99eced3c8fb8228b,1,0
4bab9555682fc40c,1,0
5d87660624bb8303,1,0
60262961dba92539,1,0
36efc3b0eb2d431f,1,0
5a9e8829b2fb9f0f,1,0
ec41e3bf053af299,1,0
be7d41d66de07201,1,0
04690cb24cd246d3,1,0
2533c4625045ffa6,1,0
49ff2b9223df39ac,1,0
edf64312e1b9b467,1,0
daf8d0acd4173c3d,1,0
a659b32895edf8be,1,0
5369ec8556a13c08,1,0
cd677b7e094cc03d,1,0
c79dc8349c2a90ce,1,0
cf366221fce0dfe8,1,0
445268c1b685da2a,1,0
de66f607d66c731e,1,0
774aa88509ef64af,1,0
7cbb448e991dc1e4,1,0
8fda9149b0aa0a73,1,0
cbf0a62a9124d126,1,0
71e8e95f6177fad1,1,0
8757d1206bde8fa1,1,0
fb2cdff8cf2f00d1,1,0
1cf28dfa167523bf,1,0
f532f1d8446b7085,1,0
befad5bf66ad7a80,1,0
5e7b71c5a1d26799,1,0
1ec0d3465ac52d0b,1,0
1c99813d23e89065,1,0
3f7e238d993c4dd9,1,0
8c70d927d7878e82,1,0
a6e834dfb913a3af,1,0
922a17b7289acf40,1,0
d2b142331768bd8e,1,0
1f345d8e0f27151c,1,0
45b20599cc5ffb08,1,0
f7d20881422f5a58,1,0
ffef660b409020bd,1,0
30273d9324ea8b22,1,0
5eb78507ec62160f,1,0
6b786a63c83c5a04,1,0
5e7dca7925f54361,1,0
100ce4376d1d51e9,1,0
d3e2e57698c749b0,1,0
09e5e9e43bdff359,1,0
629e62f2b60b5860,1,0
a8c0c22da9328590,1,0
12a10705f0f436dd,1,0
b56bd64c1b28345f,1,0
7c45d3c67484ed22,1,0
295f6c07c13eedec,1,0
fd5c5f4810f7dae1,1,0
9dc9fb3bb13711aa,1,0
fd689915810b6a28,1,0
cdb6574af511e908,1,0
2d5248f2a3ced818,1,0
0ef32a8a10ab5f4d,1,0
c3a43f645a296c12,1,0
2cacb8ec293a8927,1,0
80f6d7d93cc3bb26,1,0
ec625f39ea76c39d,1,0
e149ae69a02e1bf0,1,0
4a8752836cbb8ee0,1,0
e91315ecae663c19,1,0
98c9ff34a80bb43a,1,0
2589e0423d9147c6,1,0
8996d52950c0ca4e,1,0
3f723be128bd0e75,1,0
e09f7ad242f6d5f7,1,0
b479678d1fa28e09,1,0
3b3542937eea3dec,1,0
dfb8c82795eb6967,1,0
7c877795233dbf07,1,0
fed67a36f3d823e1,1,0
c14d3f36f44a6fd5,1,0
06f04b000db33dea,1,0
07a72f0b59459a3f,1,0
87473e8d3e135678,1,0
0122c832da34ecc6,1,0
65a8767abe3f22f8,1,0
b4385bcbe9840ab6,1,0
daf4d2ae80c1e6a6,1,0
afdb691bbb653ec9,1,0
876e1a8deeb94a1f,1,0
900439c83add99eb,1,0
c16e7d456448cf4f,1,0
7eca23f852e48945,1,0
a3bc729bdadbef6f,1,0
8c9daedddcceed0a,1,0
7d78265d6cd2b5ce,1,0
cacfd27a2feda62a,1,0
c16ce7a16570323b,1,0
164cbe3a6c4ca654,1,0
e193e821cbbaab8a,1,0
479f95f20768a1f8,1,0
12a1805ef86d1267,1,0
46c7d3d2cc90170b,1,0
1580752b9bef608b,1,0
845ae2b92a6c4b71,1,0
6b9fa71b66ead5b8,1,0
a4adf8e31f18a242,1,0
1bbbc05b4bbc3ab0,1,0
4af15f07283364b1,1,0
dc993b119dd158a0,1,0
34f77901ec57e442,1,0
33e007905e18dc15,1,0
e60e9faeb4231e8d,1,0
e712b9dbec73f4dd,1,0
c301b82f190cb7ad,1,0
662a1ca1a109762e,1,0
b5e46b1a053cac2d,1,0
e77067e7737e5f53,1,0
c50e2d7e76874b66,1,0
87203e1bc0a52a70,1,0
4943e6e7184da48c,1,0
87c95e9ad1d07442,1,0
ceab00212eba566d,1,0
3777b6aed4f27e67,1,0
57f35b0ee9920ec8,1,0
a0cede3d652030d1,1,0
edeabd9b3fb42548,1,0
4b43a665df6b7969,1,0
5b6b5e32a349779e,1,0
92898ef868cd2088,1,0
d6a756e641401157,1,0
69110d51998457db,1,0
b40471119846d733,1,0
c3e242d240e1d93a,1,0
79d9c8ba4b0697c1,1,0
fde559186dbbbdff,1,0
a7ff5841961b4583,1,0
8391933f4682a3db,1,0
58a34c79990b831a,1,0
f84e0346ad2cf39c,1,0
c81e356928315250,1,0
a269aa3d51839a27,1,0
1c25899b09994ad0,1,0
0375fc92bebaab55,1,0
3746b3d6ac243dee,1,0
3fda0388bb353335,1,0
51f80158601814e6,1,0
